Full Ref,Ref,%White,Cohort1,Cohort2,Cohort,Design1,Design2,Individuals,% White,Mean_age,Age_range,Age_group,Cohort_country1,Cohort_country2,Trait/disorder,Broad Trait/disorder,NDD/DICC,Binary/Continuous,Categorical/Continuous,Measure1,Measure2,Measure3,Measure4,Measure5,Measure6,Measure7,Measure8,Rater1,Rater2,Covariate1,Covariate2,Covariate3,Design,Sex,Categorical/Continuous,Specific_phenotype,Specific_phenotype_category,Continuous_phenotype_category,rA,rA/rG_SE,rC,rC_SE,rE,rE_SE,Model
"Bishop, D. (2001). Genetic influences on language impairment and literacy problems in children: Same or different? Journal of child Psychology and Psychiatry, 42(2), 189-198. ",Bishop (2001),No data,Local UK sample,,Local UK sample,Twin study,DFextremes,566,,8,7-16y,Childhood & Adolescence,UK,,SLI & Dyslexia,CMD & SLD,NDD,Continuous,Continuous,Test for Reception of Grammar,WISC,Clinical Evaluation of Language Fundamentals-Revised,Renfrew Word Finding Scale and the Graded Naming Test,Children’s Test of Nonword Repetition,Vernon Graded Word Spelling Test, British Ability Scales,DSM-3,,,Age,IQ,,Family,Combined,Continuous,SLI & Reading,Language Ability & Reading Ability,Language Ability & Reading Ability,0.45,0.43,,,,,DFAonly
"Bishop, D. (2001). Genetic influences on language impairment and literacy problems in children: Same or different? Journal of child Psychology and Psychiatry, 42(2), 189-198. ",Bishop (2001),No data,Local UK sample,,Local UK sample,Twin study,DFextremes,566,,8,7-16y,Childhood & Adolescence,UK,,SLI & Dyslexia,CMD & SLD,NDD,Continuous,Continuous,Test for Reception of Grammar,WISC,Clinical Evaluation of Language Fundamentals-Revised,Renfrew Word Finding Scale and the Graded Naming Test,Children’s Test of Nonword Repetition,Vernon Graded Word Spelling Test, British Ability Scales,DSM-3,,,Age,IQ,,Family,Combined,Continuous,SLI & Spelling,Language Ability & Reading Ability,Language Ability & Reading Ability,0.48,0.42,,,,,DFAonly
"Burt, S. A., Krueger, R. F., McGue, M., & Iacono, W. G. (2001). Sources of covariation among attention-deficit/hyperactivity disorder, oppositional defiant disorder, and conduct disorder: the importance of shared environment. Journal of abnormal psychology, 110(4), 516. ","Burt, Krueger, McGue & Iacono (2001)",98,MTFS,,MTFS,Twin study,Classical,1506,,11,10-12y,Middle childhood & Adolescence,USA,Minessota,ADHD & CD,ADHD & CD,DICC,Continuous,Continuous,DICA-R,DSM-4,,,,,,,Parent,Self,Sex,,,Family,Combined,Continuous,ADHD & CD,ADHD & CD,ADHD Traits & CD Traits,0.17,0.1,0.99,0.19,0.15,0.04,FULL
"Burt, S. A., Krueger, R. F., McGue, M., & Iacono, W. G. (2001). Sources of covariation among attention-deficit/hyperactivity disorder, oppositional defiant disorder, and conduct disorder: the importance of shared environment. Journal of abnormal psychology, 110(4), 516. ","Burt, Krueger, McGue & Iacono (2001)",98,MTFS,,MTFS,Twin study,Classical,1506,,11,10-12y,Middle childhood & Adolescence,USA,Minessota,ADHD & ODD,ADHD & ODD,DICC,Continuous,Continuous,DICA-R,DSM-4,,,,,,,Parent,Self,Sex,,,Family,Combined,Continuous,ADHD & ODD,ADHD & ODD,ADHD Traits & ODD Traits,0.15,0.11,0.99,0.08,0.19,0.04,FULL
"Cheung, C. H., Fazier-Wood, A. C., Asherson, P., Rijsdijk, F., & Kuntsi, J. (2014). Shared cognitive impairments and aetiology in ADHD symptoms and reading difficulties. PloS one, 9(6), e98590. ","Cheung, Fazier-Wood, Asherson, Rijsdijk & Kuntsi (2014)",100,TEDS,,TEDS,Twin study,Classical,1312,,,7-10y,Childhood & Middle Childhood,UK,,ADHD & Dyslexia,ADHD & SLD,NDD,Continuous,Continuous,Conners,RDQ,,,,,,,Parent,Teacher,Age,Sex,IQ,Family,Combined,Continuous,Hyperactivity & Reading,Hyperactivity & Reading Ability,ADHD Traits & Reading Ability,0.52,0.04,,,0.34,0.06,BEST
"Constantino, J. N., Hudziak, J. J., & Todd, R. D. (2003). Deficits in reciprocal social behavior in male twins: evidence for a genetically independent domain of psychopathology. Journal of the American Academy of Child & Adolescent Psychiatry, 42(4), 458-467. ","Constantino, Hudziak & Todd (2003)",86,Missouri Twin Study,,Missouri Twin Study,Twin study,Classical,438,,,7-15y,Childhood & Adolescence,USA,Missouri,ADHD & ASD,ADHD & ASD,NDD,Continuous,Continuous,SRS,CBCL,,,,,,,Parent,,Not used,,,Family,Males,Continuous,Inattention & ASD,Inattention & ASD,ADHD Traits & Autistic Traits,0.91,0.02,,,0.01,0.07,BEST
"Davis, O., Kovas, Y., Harlaar, N., Busfield, P., McMillan, A., Frances, J., . . . Plomin, R. (2008). Generalist genes and the Internet generation: etiology of learning abilities by web testing at age 10. Genes, brain and behavior, 7(4), 455-462. ",Davis et al. (2008),100,TEDS,,TEDS,Twin study,Classical,5082,,,10y,Middle childhood,UK,,Dyslexia & Dyscalculia,SLD & SLD,NDD,Continuous,Continuous,PIAT,nferNelson Math 5‐14 Series,,,,,,,,,Age,Sex,,Family,Combined,Continuous,Maths & Reading,Maths Ability & Reading Ability,Maths Ability & Reading Ability,0.57,0.07,0.94,0.06,0.15,0.03,FULL
"Davis, O. S., Band, G., Pirinen, M., Haworth, C. M., Meaburn, E. L., Kovas, Y., . . . Trzaskowski, M. (2014). The correlation between reading and mathematics ability at age twelve has a substantial genetic component. Nature Communications, 5(1), 1-6. ",Davis et al. (2014),100,TEDS,ALSPAC,"TEDS, ALSPAC",Twin study,Classical,4500,,,12y,Adolescence,UK,,Dyslexia & Dyscalculia,SLD & SLD,NDD,Continuous,Continuous,TOWRE,,,,,,,,,,Age,Sex,,Family,Combined,Continuous,Maths & Reading,Maths Ability & Reading Ability,Maths Ability & Reading Ability,0.64,0.04,0.9,0.08,0.3,0.03,FULL
"Davis, O. S., Band, G., Pirinen, M., Haworth, C. M., Meaburn, E. L., Kovas, Y., . . . Trzaskowski, M. (2014). The correlation between reading and mathematics ability at age twelve has a substantial genetic component. Nature Communications, 5(1), 1-6. ",Davis et al. (2014),100,TEDS,ALSPAC,"TEDS, ALSPAC",GCTA study,REML,4500,,,12y,Adolescence,UK,,Dyslexia & Dyscalculia,SLD & SLD,NDD,Continuous,Continuous,TOWRE,,,,,,,,,,Age,Sex,PCs,SNP,Combined,Continuous,Maths & Reading,Maths Ability & Reading Ability,Maths Ability & Reading Ability,0.74,0.17,,,,,
"Demontis, D., Walters, R. K., Martin, J., Mattheisen, M., Als, T. D., Agerbo, E., . . . Bækvad-Hansen, M. (2019). Discovery of the first genome-wide significant risk loci for attention deficit/hyperactivity disorder. Nature genetics, 51(1), 63-75. ",Demontis et al. (2019),100,PGC,iPSYCH,"PGC, iPSYCH",LDSC study,LDSC,55374,,,>75% children,Childhood & Adolescence,European ancestry,,ADHD & ASD,ADHD & ASD,NDD,Binary,Categorical,ICD-10,,,,,,,,,,NA,,,SNP,Combined,Categorical,ADHD & ASD,ADHD & ASD,ADHD & ASD,-0.01,0.07,,,,,
