Full Ref,Ref,%White,%Hispanic,%AfrAm,%Asian,%Chinese Han,Cohort,Cohort1,Cohort2,Cohort3,Design1,Design2,Individuals,Mean_age,Age_range,Age_group,Cohort_country1,Cohort_country2,Broad Trait/Disorder,Trait/Disorder,Categorical/Continuous,Binary/Continuous,Measure1,Measure2,Measure3,Measure4,Measure5,Measure6,Measure7,Measure8,Rater1,Rater2,Covariate1,Covariate2,Covariate3,Covariate4,Design,Specific_phenotype,Specific_phenotype_category,Continuous_phenotype_category,Binary/Continuous,Group,Sex,h2,h2_SE,c2,c2_SE,e2,e2_SE,Model,,
"Alarcón, M., DeFries, J., & Fulker, D. (1995). Etiology of individual differences in reading performance: A test of sex limitation. Behavior Genetics, 25(1), 17-23. ","Alarcon, DeFries & Fulker (1995)",No data,,,,,CLDRC,CLDRC,,,Twin study,DFextremes,1630,,8-20y,Middle Childhood & Adolescence,USA,Colorado,SLD,Dyslexia,Continuous,Continuous,PIAT,WISC-R,,,,,,,,,Age,,,,Family,Reading,Reading Ability,Reading Ability,Continuous,Probands,Males,0.52,0.05,0.33,0.06,,,DFBEST,,
"Alarcón, M., DeFries, J., & Fulker, D. (1995). Etiology of individual differences in reading performance: A test of sex limitation. Behavior Genetics, 25(1), 17-23. ","Alarcon, DeFries & Fulker (1995)",No data,,,,,CLDRC,CLDRC,,,Twin study,DFextremes,1630,,8-20y,Middle Childhood & Adolescence,USA,Colorado,SLD,Dyslexia,Continuous,Continuous,PIAT,WISC-R,,,,,,,,,Age,,,,Family,Reading,Reading Ability,Reading Ability,Continuous,Probands,Females,0.74,0.03,0,0.06,,,DFBEST,,
"Alarcón, M., DeFries, J., & Fulker, D. (1995). Etiology of individual differences in reading performance: A test of sex limitation. Behavior Genetics, 25(1), 17-23. ","Alarcon, DeFries & Fulker (1995)",No data,,,,,CLDRC,CLDRC,,,Twin study,DFextremes,1630,,8-20y,Middle Childhood & Adolescence,USA,Colorado,SLD,Dyslexia,Continuous,Continuous,PIAT,WISC-R,,,,,,,,,Age,,,,Family,Reading,Reading Ability,Reading Ability,Continuous,Controls,Males,0.36,0.07,0.4,0.07,,,DFBEST,,
"Alarcón, M., DeFries, J., & Fulker, D. (1995). Etiology of individual differences in reading performance: A test of sex limitation. Behavior Genetics, 25(1), 17-23. ","Alarcon, DeFries & Fulker (1995)",No data,,,,,CLDRC,CLDRC,,,Twin study,DFextremes,1630,,8-20y,Middle Childhood & Adolescence,USA,Colorado,SLD,Dyslexia,Continuous,Continuous,PIAT,WISC-R,,,,,,,,,Age,,,,Family,Reading,Reading Ability,Reading Ability,Continuous,Controls,Females,0.43,0.07,0.2,0.08,,,DFBEST,,
"Alarcón, M., DeFries, J. C., Light, J. G., & Pennington, B. F. (1997). A twin study of mathematics disability. Journal of learning disabilities, 30(6), 617-623. ","Alarcon, DeFries, Light & Pennington (1997)",70,8,13,,,CLDRC,CLDRC,,,Twin study,DFextremes,126,"11.54 for probands, 11.87 for controls",8-20y,Middle Childhood & Adolescence,USA,Colorado,SLD,Dyscalculia,Continuous,Continuous,PIAT,WRAT,,,,,,,,,Age,,,,Family,Maths disability,Maths Ability,Maths Ability,Continuous,,Combined,0.38,0.18,,,,,DFAonly,,
"Alarcón, M., DeFries, J. C., Light, J. G., & Pennington, B. F. (1997). A twin study of mathematics disability. Journal of learning disabilities, 30(6), 617-623. ","Alarcon, DeFries, Light & Pennington (1997)",70,8,13,,,CLDRC,CLDRC,,,Twin study,DFextremes,126,"11.54 for probands, 11.87 for controls",8-20y,Middle Childhood & Adolescence,USA,Colorado,SLD,Dyscalculia,Continuous,Continuous,PIAT,WRAT,,,,,,,,,Age,,,,Family,Maths disability,Maths Ability,Maths Ability,Continuous,,Combined,0.32,0.37,,,,,DFAonly,,
"Alarcón, M., DeFries, J. C., Light, J. G., & Pennington, B. F. (1997). A twin study of mathematics disability. Journal of learning disabilities, 30(6), 617-623. ","Alarcon, DeFries, Light & Pennington (1997)",70,8,13,,,CLDRC,CLDRC,,,Twin study,DFextremes,126,"11.54 for probands, 11.87 for controls",8-20y,Middle Childhood & Adolescence,USA,Colorado,SLD,Dyscalculia,Continuous,Continuous,PIAT,WRAT,,,,,,,,,Age,,,,Family,Maths disability+Reading disability,Maths Ability,Maths Ability,Continuous,,Combined,0.41,0.21,,,,,DFAonly,,
"Artigas, M. S., Sánchez-Mora, C., Rovira, P., Richarte, V., Garcia-Martínez, I., Pagerols, M., . . . Børglum, A. D. (2020). Attention-deficit/hyperactivity Disorder and lifetime cannabis use: genetic overlap and causality. Molecular psychiatry, 25(10), 2493-2503. ",Artigas et al. (2020),100,,,,,"PGC, iPSYCH",PGC,iPSYCH,,LDSC study,LDSC,53293,,>75% children,Childhood & Adolescence,European ancestry,,ADHD,ADHD,Categorical,Binary,ICD-10,,,,,,,,,,NA,,,,SNP,ADHD,ADHD,ADHD Traits,Binary,,Combined,0.26,0.02,,,,,SNP,,
"Bailey, A., Le Couteur, A., Gottesman, I., Bolton, P., Simonoff, E., Yuzda, E., & Rutter, M. (1995). Autism as a strongly genetic Disorder: evidence from a British twin study. Psychological medicine, 25(1), 63-77. ",Bailey et al. (1995),No data,,,,,The twin study of Folstein & Rutter,The twin study of Folstein & Rutter,,,Twin study,Categorical threshold,90,,Children,Childhood & Adolescence,UK,England,ASD,ASD,Categorical,Categorical,ADI,ICD-10,,,,,,,Diagnosis,,Not used,,,,Family,ASD,ASD,Autistic Traits,Categorical,,Combined,0.93,0.02,,,,,Aonly,,
"Bailey, A., Le Couteur, A., Gottesman, I., Bolton, P., Simonoff, E., Yuzda, E., & Rutter, M. (1995). Autism as a strongly genetic Disorder: evidence from a British twin study. Psychological medicine, 25(1), 63-77. ",Bailey et al. (1995),No data,,,,,The twin study of Folstein & Rutter,The twin study of Folstein & Rutter,,,Twin study,Categorical threshold,90,,Children,Childhood & Adolescence,UK,England,ASD,ASD,Categorical,Categorical,ADI,ICD-11,,,,,,,Diagnosis,,Not used,,,,Family,ASD,ASD,Autistic Traits,Categorical,,Combined,0.91,0.03,,,,,Aonly,,
